dream,archetype
"I dream that I’m back in my childhood bedroom. It’s not the only bedroom I had in childhood, but it is the one in the home we shared with him, and the room I had through my most formative years. The room is barren, but I’m painting it a baby blue color. Suddenly I notice he’s in the room with me; I’m not sure when he came in, but when I turn around he’s painting over my blue with a dark red. I start screaming “Stop! Can’t you see I’m trying to paint it blue? Why can’t you see that? Stop!” He ignores me, and suddenly the bat I used to play softball with in the time I lived there is in my hands. I start hitting him with it, and I’m crying and saying “Please stop painting it red, I’m trying to paint it blue.” I can feel the resistance of my bat hitting him, I’m swinging as hard as I can, but I never see it hurting him. He continues to standing facing away from me as I hit him. ;  Background_Info:  I have a reoccurring dream about the man who used to molest me as a teenager and I need help to understand what it means, I feel like there has to be a reason I keep having it. ;  Wakeup_State: __ ###",everyman
"After walking up a long set of stairs, I reached a road and a bird came down and attacked a small snake hiding in some short grass. At first it looked like the bird had the snake, but the snake twisted out and got free. The bird attacked again, and this time the snake bit the bird as they were struggling. The bird dropped the snake, and the snake bit me, before the bird grabbed it again. I was initially worried, as I've encountered snakes a lot in my last job, but then realised it was probably too small to hurt me. I didn't recognise the species of bird or snake, but the snake wasnt big (30-40cm).",wizard
"It started out as me figuring out that my “best friend” in the dream was talking to my boyfriend of almost three years. I’m always either super angry or crying hysterically, this time I was crying hysterically. So when they decided to meet up I went outside and sat in his car with him just to never get answers. (In any dream he cheats I never get answers or it’s always my fault) so after I get no answers and leave, someone’s driving to my house and I’m crying really bad and I look in the back seat to like the “dream best friend” and I ask her how could she do this knowing me and him been together for three years! And I started smacking tf out of her. We get to my house and my brother falls for her the same brother that said me dating someone older is bad for the family (and he has a controlling gf) and there he is trying to get with someone younger that has the same age gap. Then I starting screaming and popping off to my brother saying like tf how is he gonna be so hypocritical! And one part of the dream I remember is calling my boyfriends phone and a girl picks up and I tell her she better find my boyfriend before I drive up to his town my self and she found him and he headed to my house ig to talk but he never tells me why he did it in my dreams unless it’s blaming me. The rest of the dream was me following my boyfriend around to get answers because he’s always running, or always finding a way out of it.",everyman
"First night of dreaming: I was running away from a day time rain, the skies were a beautiful bright blue. It was coming after me, I didn’t want it to touch me. I was jumping from roof top to rooftop in a place that resembled the favela of Brazil. Suddenly there’s a helicopter and someone who I can’t see their face reaches their hand out to me and pulls me inside before the rain could touch me. I’m dry and saved. I wake up. Second night of dreaming: I’m now wet, the rain has touched me. I’m in a forest somewhere. There’s a women who feels like a spirit. I only see her from the back, I can’t tell her age wether she’s young or old, maybe she had white braided hair and wearing native clothes. she’s running somewhere and I feel like I must follow her, so I do. She leads me to shelter. I wake up. Third night of dreaming: I’m alone and dry. I’m on a beach somewhere, and in the distance of the horizon is the most magical scene I’ve ever seen. There’s a massive tsunami wave touching the skies like it was reaching out for heaven, wide as the eye can see everywhere I look from left to right. It stayed in it’s place, just flowing up, it wasn’t coming after me. The sunset was shining through it, illuminating its power and beauty. I was in awe and wonder, mesmerized and unafraid. I felt empowered. ;  Background_Info: I dreamt over three consecutive nights with the element of water in it… ;  Wakeup_State: __ ###",everyman
"My sister and my dog were in grave danger? I found my sister lying on the ground, conscious, and with feeling down her leg into her toes but unable to move with a ring of blood around her neck and no one would tell me what happened to her. Also my dog was in trouble and no where to be found. It’s back burner made me sad all day? / Simaltaneously made me grateful it wasn’t real all day.",hero
"I wasn’t myself in this dream, I was a small, translucent, slime ball lol. I was super bouncy and could just bounce all over the place. The scene of the dream was like a video game level, I was contained in a giant cube-like area, and it was full of beautiful bright colors like purple, magenta, teal, and white. Super happy looking. There were tall platforms for me to jump onto and certain areas had little trampolines which would make me jump even higher. In this it was exactly like a video game, I was trying to hop away from the enemy chasing me, I was having so much fun even though I was a bit scared to get caught! In order to stay ahead, I had to try to jump on the trampolines only so I could jump faster and higher each time. At one point I accidentally landed on flat tile (looked like bathroom tile, it was shiny and cold and I still remember how it felt landing on it) and I sort of just splatted on it and didn’t bounce. I had to shimmy my way back to the trampolines to bounce again, I was super close to getting caught by the enemy, but still got away!",explorer
I had a dream that a security man had gave me $5 from My children's father to get too me in the dream and when I took the money. It changed to where I met an evil pyschic and I didn't know she was evil I took something outta her hand and I ate and I felt like all bad luck was trying to come too me after I have really had an hexs but I took them off right but In the dream it made me scared and worried.,everyman
"I fought a dragon to save my father [eyebrows raise in armchairs all over the world]. It was no noble movie dragon, but a black fetid and slimy wyrm. I knew things weren't right when through my window I saw the CN Tower had been erected in Montreal (Canadian dreams, eh?) and my first thought was 'the bomb is about to drop'. But as I fled the house, there it was, stuck on the roof like a fly on shit. I knew I wasn't safe in the open, so I tried to scare it away by shouting and throwing rocks. This only got its attention. The beast took to the air and swooped down at me. I was holding only a knife in my left hand, and as I barred the entry to my (late) father's house I tried to slash at the massive head pushing its way through the door. Luckily the skin was soft, not scaly, but still I could not do more than make it angry. When it finally forced its way in, what followed was a blur. For a few moments I tried to face it head on, taking advantage of the narrow hallway that slowed its penetration into my sanctum, but it was only a matter of time before it reached my father's room. I cannot recount all the details, you know how dreams go, but in a final desperate act I ducked into the bathroom and hid behind the door. As the dragon pushed his head into the tiny room I took advantage of the angle to thrust the knife under its chin and tore along the throat spilling so much black blood and offal that it threatened to drown me in dragon slag.",hero
"I had called my auntie on the phone her name was Bessie but she didn't answer she hasn't been answering since. She has been going back and forward to the doctor's and stuff she says she my have cancer and my granny died from it but I believe she will pull thru it. But in the dream she was shocked after I had called her when she didn't answer me and my old man that I'm with now we had went to her house and remind you! She lives in Winona Ms so we we're in saint Louis Mo, in the dream but some how I got to Winona Ms fast and went up there to see why she didn't answer her phone because in real life she hasn't been answering because she has been going back forward to the doctor's so the reason why I'm asking this me and my old man went up there she was getting out the tube and I had went in to look at the clock and she looked surprised about me coming up there with Carl so I don't know and when I call now she barely answer. ;  Background_Info: I had a dream about my auntie which my great auntie she's my grandma sister, and my granny is deacesed but anyway ;  Wakeup_State: __ ###",everyman
"Last night I dreamed that I was walking, with difficulty, along a path on a sheer mountain face, I think with someone else. Climbed up on a big, wobbly rock. I tried to make it stop wobbling, but the next thing I know I'm falling backward through space, with no end in sight. ;  Background_Info: I keep having these dreams about falling off a mountain, and of a mountain standing in my way - the same one every time. I'm in kind of a bad way, physically and emotionally.  ;  Wakeup_State: This feels like a warning, to get my act together. ###",everyman
"I was at home, it was night and there were noises on the stairs, when I got out of bed to see what it was about and I went to look at the viewfinder I saw a horse , he was running agitatedly up the stairs then he started banging his head on my door ,he wanted to break down the door and hurt me. He was mad and had red eyes. His colour was brown.",jester
"Two prominent roller rinks in my city shut down, and people are sad about it. I however discover an old abandoned facility in a wooded parkland near a river. I purchase this property and start developing the buildings. There is one building I do up for social/general skating, another I start building up as a hockey rink, and then another for skaters with half pipes, rails etc. I then start paving paths between the three buildings so you can go from one area to another without having to take off your skates.",everyman
"I was given a medallion necklace. I was free to wander around in a comfortable area, but instead chose to go downstairs to a dimly lit level. I then turned around, headed backwards behind the stairs, and picked up a shiny figurine of an angel. I placed this figurine in my medallion and turned around. The Devil stood before me. He then knelt before me and kissed my medallion. I struggled with what to do and decided to go back upstairs. The rest of my dream was spent sulking about unsatisfied on the upper level.",everyman
"I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon. When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me. Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them. After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.",jester
"I was somehow involved in a murder. An acquaintance of ours (a big man) had beaten another man to death and a few of my friends and I had sort of egged him on over text message. The whole dream was the police surrounding us all, mostly old school friends, a toxic ex best friend of mine and a toxic ex boyfriend. Also my beloved grandma who has passed, had been involved! We were all surrounded by the police and about to be interrogated. I knew that if they saw my text messages or diary entries (I had a few journals lying around in a bag and in my hand etc), I was screwed. I was considering deleteting the messages or journal entries but didn't want to act like I was covering anything up. I was trying desperately to talk discreetly to my friends (with the police around us) to make sure we were on the same page about what we were going to say. I knew I was facing jail. Maybe 1-6 months. Or maybe none at all, but I was just hoping and praying I wouldn't go to jail. My main focus was my kids and them thinking I was the worst mum in the world for going to jail. I've already done a few things to disappoint them and I knew this one would just take the cake.",rebel
"i had a dream about a tsunami. i was in my old bedroom upstairs and i saw the tsunami, it broke my windows. i went to my moms room scared to tell her and she went to try and fix it but then it happened again. i ended up at my boyfriends house for some reason, to tell him something, but i had to go back to my house real quick and i realized that i couldn’t cus it could be dangerous i might get washed up.",everyman
"I dreamed that I died. I was a spirit but my family could still see and hear me. But one by one, they stopped being able to see me. Then one by one, they stopped being able to hear me. The dream ends with me screaming and trying to grab my mom's hand but no one even knows I'm there.",everyman
"There was a woman in my living room beside me (I was asleep on the couch) and she got up and started heading to the door like she was leaving, I was like ""WHO THE FUCK ARE YOU?!"" And she looked at me and said ""Grandma"". My grandma is passed away, but she was not MY grandma and I said this. She appeared to be an old native American woman (I am also native), she didn't smile and I was immediately afraid of her. I kept trying to turn the lamp on so I could see her better. The light wouldn't turn on which made me realize it was a dream (or maybe astral projection) because lights never work in my dreams and that's how I always become lucid and know I'm dreaming. Then she said ""I'm not going to let you turn the light on"". I started freaking out because I couldn't wake myself up and she started attacking me. I finally forced myself awake, but I kept slipping back into the dream because I couldnt hold my eyes open, and every time I did she was still attacking me. There was someone else in the room at one point that I couldn't see, whispering ""She let someone in when she was staring in the mirror"", and I was screaming ""WHO DID?!"" but they wouldn't answer. ;  Background_Info: I had 4 false awakenings after taking a nap today. ;  Wakeup_State: __ ###",everyman
"I Dreamt of Colourful Rainbows ,Their Colours so clear and Brightest,But they were Connected to a Flower .I Think I knew Something would Be Wrong if I Take The FLower So I asked My Boyfriend To get me the flower Connected To all The Rainbows, He cut Flower and Gave it To me and All The Rainbows dissapier immediately, Then I was Left With Him in A Dirty Old House That doesn't Even have A door or Window.",lover
"I was walking throw the trees out side with a about 4 year old who i was watching and he. Started crying n i stoped walking n put him on a seat standing so i can get more lved with him n i ask ""whats wrong?"" As i was thinking - how can you be in a place like this and be crying(because we were surrounded by tall trees and wilderness area where we lived in the town) - i asked 2 times before he answered, the first time he didnt want to say like his parents never wanted to hear him out n he looks down. I lift his chin up softly ""hey hey hey. . . look at me . . please"" i say softly and he looks at me n i let his chin go. ""What is wrong? Whats making you so upset? I really want to know"" I ask as we looked each other in the eyes. He seamed to calm down and says in a little bit of a whine ""Its boarding here and theres nothing to do. Its always the same"" i give a moment of silence before responding ""Ok how about this, when were done here i will play with you, anything you want. How about that?"" I asked n smiled being very caring about what i say which match my energy. ""Mhumm"" the kid responds with nodding. I smile at him happily ""When were done here well play ok"" i say and the kid calms down completely n nods i then picl him up. (The dream skips further ) i finished what i needed and gave the kid back to the parents but before i leave i ask the child ""alright. Are you ready? What do you want to do?"" I ask the child seeing a smile grow on him before i woke up. During the dream and hearing the kid i was concerned from his crying and listened to his words very closely. My expressions were obviously worryed and concerned the child noticed which i was able to tell with how he calmed down and his facial expression.",caregiver
So I dreamed that I was at my sons school and it felt so real…. As I was looking for my car with my unborn baby in my arms I look up and see it and see my dead grandmother and currently alive uncle but he looked dead both looked like corpses on the backseat I freaked out and look down and my baby disappears I ran to the car and the baby is in there moving around so I get in the car and try to get home but it leads me towards my old road to my grandmothers house across the state I pumped the breaks and do a u turn and try to get back home but more roads keep appearing and I panic and end up crashing the car so I get my stroller and baby and start walking but the closer I get to a building the farther away it goes and I can’t make it. I felt like I kept trying to get home but it kept pulling me back to my old house.,everyman
"In said dream I was part of some unit made up of child soldiers (except I wasn’t child, the others were) called the “F.S.W unit” or something like that, where all the kids line up and start filing in to this platform in the middle of a huge arena where there’s crowds all around watching, and once they get to the platform it’s like Russian roulette where there’s a 50/50 chance that a few will end up dying. The way they end up dying is that Chucky (you know, the creepy doll) runs around underneath the platform with his hand out, grabbing the kid’s hands, and if the kid squeezes his hand back then he sentences them to death by chasing after them with a huge knife. I eventually caught onto this, so I stopped squeezing his little hand whenever he’d put it out and he was like “fucksakes, this bitch is gonna be a tricky one” or something (sorry for the language). Then I had a military uniform on and gear and had to crawl/run really fast throughout a series of tunnels that my bedroom was connected to in order to get away. Then my boyfriend was there, but can’t really remember what he was doing. I was sitting in fetus position up against a wall with all my stuff on and I just remember him bending down in front of me and saying something, but I had PTSD and was confused. Then when Chucky captured me, I sprouted wings and transformed into some purple bird god named “Raksha” and was able to get away and they were like “It’s the second coming of Raksha! All hail!” Or something.",everyman
"I was at some kind of archeological dig. The man leading the dig had a daughter, a beautiful woman about my age, and after playing hard to get, she decided she really liked me. Later in the dream, I met another beautiful woman, also my age, who also really liked me. This made the situation difficult, since I had to decide which one to hurt. It wasn't a pleasant choice. In the end, I chose the second woman.  Now, I associate these women with my anima. What does anyone here think about this? Does this indicate some kind of ""split?"" Another detail is that the first woman had dark hair, and the second woman had light hair. Normally, I find dark-haired women more attractive, yet I chose the light-haired one. What do you all think? Why would I have to choose to hurt one? Is this related to my recent re-connection?  Later in the dream, I found myself next to a well. A man standing there said that it was pretty cold. Even though it was cold in my room as I was sleeping, in the dream, I suddenly felt hot. I looked down into the well, and saw ice floating in the water there. I drew up the bucket, and doused myself with it, which was very refreshing.",lover
"A certain tree and a certain fungus. When the fungus grew on the tree, it absorbed certain essence from the tree, so that when something (a small animal) was wrapped by, or hugged, in this fungus, it gave the creature access to altered states. Same for a person who ate the fungus. But the fungus only had the affect when it grew on the tree. ;  Background_Info: A dream theme i had that repeated itself through the night.  ;  Wakeup_State: __ ###",explorer
"I recently had a dream I was in a Cathedral church with my Grandma and a man I never seen. My Grandma was in a wedding dress with a bouquet of white flowers and 2 pink flowers. It starts off with us walking in the church, then I was sitting in the pews and my Grandma walking out the church saying She needed to go find St. Anthony. After that my Grandma was lost and we couldnt find her. I woke right after that.  ;  Background_Info: My Grandma is still alive. ;  Wakeup_State: __ ###",everyman
"I saw a enormously big snake with one big head and many small heads,like Medusa's. For some reason this snake loves me and embraces me with all it's body,like it weaves around my waist and sleeps. I know that I did something good for snake and snake is happy and peaceful and it's little heads want me to stroke them. I know that snake is good but I feel discusted, especially when I feel snake moving around my waist it's like creepy tingling.",everyman
"Last night I dreamed I can communicate with the hosts of a live cooking show. I asked if I can have a sample of what the host is cooking and I got a small sample to taste. Also, I asked if I can get a shot of the alcohol in the background and I got a shot. How is that possible??? Communicating with people on live television, while watching their show in my living room???",wizard
"The first part consists of me riding in a misty morning on an empty lengthy road in between wetlands with leafless trees. Nothing crazy. The second part happens the next day, where my father told me to get to my hometown using his car. For some unknown reason, I am riding above our river that for some reason has multiple bridges that I am passing below me. Few times I fall down to the river (luckily it is not so deep) and I remember that father liked to get me into situations that are not pleasant for the sake of being more manly. I felt scared and used. Nonetheless, I end up in my hometown next to a mountain (that is not there, we only have a small hill) I climb it up and for some reason, I have a hovering sofa above my shoulders ( It sounds stupid, but it was there) I climb up that hill and at the top, I even climb up our cemetery. and there I meet a nice girl. I strike up a conversation trying to get to know her, but somehow I am failing and becoming anxious. I see myself grinning uncertainly, and I fail to get her contact. She even had a dog and for some reason, I had her pictures with the dog on my phone. Kinda creepy. It is getting late and I just arrived at my friend's house under a bridge we have in our hometown. I don't know why, but in my dreams, there is a small town there. Yet in reality, there is just a downwards path. I am charging my phone there and she is not around, I feel like I should not be there and the sofa is normally placed in her house. I tried calling her, but she did not answer. Suddenly I am in school with my great friend and we are goofing around. Suddenly I look at the pictures on my phone, where I see me, my friend, and a girl I fell in love last year. I thought it was weird since I deleted all of them and on one photo she seems genuinely sad/happy and I know that I am the reason. And the last part. Its night and I am next to the cemetery with my cousin whom I admire deeply. He is innocently poking fun at my choices in women. He calls them "" Girl with a tattoo, Girl with dreadlocks, now a girl with a dog"" After that we look at a star on a grave beyond the cemetery wall. He makes a joke that does not make sense in any way. To which I respond smugly, yeah my brother already did that joke. And suddenly we hear heavy scratching sounds that are approaching us. He says it is a wolf, and that we should run before he sees us, he runs behind the wall of the cemetery, while I try to climb it up (these walls are smaller than me). Yet I fail, I try to run yet the wolf is already there looking at me. The walls change to a fence of our garden and the wolf starts running at me. I feel a sense of dread and fright. ;  Background_Info: All of my dreams that are in my hometown start to descend into nightmares and our garden usually holds something negative.  -I was trying to talk to the girl to get over the girl I fell in love with last year  -The girl I was visiting and the friend I was goofing with are constantly with her and even tried to have a romantic relationship with her. So I left them both  I know this sounds stupid, childish and even convoluted. But I would like to know if it even means something. I kinda even feel bad for sharing this since, I am wasting your time with a dream that does not even make sense ;  Wakeup_State: __ ###",everyman
I went into the bathroom and the tub was filling up - almost at the top. I had to rush in a unclog the drain and had to do it before the water spilled over. I started pulling out all kinds of hair and black gunk and finally got it cleared out and the tub drained. The symbolism seems obvious in that I need to clear an obstruction or blockage to free myself. It I’m not sure where to look.,lover
I had a dream my boyfriend was in the hospital he passed away in. I had got the news he was gone. But when I went to go check on him he opened back up his eyes and looked at me like he was not really gone. It wasn't a bad feeling when i had that dream. ;  Background_Info: My boyfriend of 3 years passed away this past January. I constantly have nightmares now.  ;  Wakeup_State: __ ###,everyman
"The dream was that a significantly older man was chasing after me and wanted to perform unwanted sexual acts on me. It was quite disturbing. On Friday night though, as I was running away, I moved into another dream where I was running down a stone cavernous hallway. I'm running away from something but I'm not sure what. I keep coming to wooden doors with ironwork designs on them and unlocking them with my old fashioned, black iron key. From around the right corner, before I run to each door, there is a woman with dark hair and eyes in a pink dress towing a mule on a rope. She walks around the corner before I run down the hallway where each door is so I see her 3 or 4 times as if I'm running down the same hallways again 4 times. I never look to see if she is coming from somewhere so I don't know if there is actually a corridor she's coming from. Eventually, I run through one of the doors and there was a white field. I hear a voice behind me and it's a futuristic-looking boy of about 18 (picture cyberpunk goggles and dystopian future-looking clothing). He says something and before I can hear it, I realize I'm dreaming, wake up and I ask him, ""What are you doing here? Who are you? Why am I having this dream and what and I supposed to learn?"" He smiles coyly and says I can only learn that if I promise I'm still dreaming. I say yes and he leads me back around to where I previously saw the next wooden door in the fully white field, but now there is cobblestone and an old town. I've been here before but only during summer when he place looked like a mystical campground. Now it looks dark, cold and snowy. All the people are silhouettes and faceless. The boy leads me around the block and speaks but I can't really hear him. I'm more focused on the silhouette people (if you've seen inception, the people moved in a similar way except they were only shadows). There was also nobody in the houses. As we round the second last corner of the block, I tell the boy I changed my mind and that I want to go through the wooden door instead. He asks if I'm sure and when I say yes, I suddenly become quite cartoonish and dive through the wooden door like a superhero. My brother and I not fly through space as I chose the video game as if we are at a starting screen. I choose a game called SMASH and play as a miniature gorilla with veins all over its body except this character is MY body in the same way that Ready Player One works. I win enough fights that I get chosen as a champion for the last round where I fight against a blue zombie girl who rips my nervous system out of my body with her tongue and my fiance catches me and tells me it's okay and that my real-life body won't be affected, but I was terrified I would be horribly injured in real life.",everyman
"I was standing in my pops house that no longer stands and I was in the lounge room and there were pigeons, heaps of them, sitting on top of some ledge near the ceiling. I was sort of walking around and I saw my mum and then one of my brothers. Next moment all the pigeons flew away but all I saw was this white poop everywhere, on the curtains and walls. My dad came into the scene and I said to him I will clean this up some how. In my head I was trying to work out the safest way to clean it up. I Thought if I take down the curtains first and wash them, as I thought of this and imagined it I saw the windows exposed which then made it easier to see the mess on the walls. I didn’t feel any negativity in the dream.",everyman
"I was at some kind of ceremony that I had a good amount of contempt for. We were very shoddily acting out a re-enactment of something. I remember having a vague idea of what I was supposed to be doing, but everything was screwed up. My contribution was the furthest off from the ideal, but it everyone else seemed content with the proceedings. Something significant was supposed to happen in the ceremony but a car crash or another kind of emergency outside made everyone focus on that instead. However, while everyone was busying themselves with that I noticed a small, almost imperceptible scratch on my the end of my ring finger (I cant remember which hand). I started to squeeze it and puss started to come out. It wasn't painful, in fact it was pretty relieving to have it come out. It was kind of off-white or greenish initially, but as I kept squeezing it, eventually it turned into red, kind of like clotted blood. It didn't take long before I got all of the hardened stuff out of my finger and I as I did so I had garnered a fair amount of ""eww""s and ""yuck""s and ""doesnt that hurt?"" To which I responded ""not really. My body needs to get rid of it."" Having felt I got it all out I looked up again and everything seemed different. The ceremony was apparently forgotten and no one was focused on it anymore. After a little bit of my time my focus went back to my finger where I started to work at it again. I remember feeling like I had got it all out but something was telling me it wasn't resolved. As I pushed an pushed (this was a fair bit more unpleasant), eventually a worm of some sort was forced out.",jester
I had a dream about this lady who looked like this blues singer she was about to let me do her make up but she took my make up and let someone else did it but I can tell something. Was wrong with this lady she was strange I asked her could she get us something to eat n when I asked that. All stuff started to be off her eyes went in the back of her head and stuff it was a scary dream my son and little niece was in the house and the house got caught on fire my grandma bf was still there but he was asleep and didn't wake up and that's not him it was really scary and when she came by the stairs she looked down and laughed at us when my lil nieces lady shirt got attached with the fire.,jester
"I was in a small drama amphitheatre. I started with a stumble until I decided to voluntarily take myself down instead of falling. I went on stage and the show began, and had to run backstage in embarrassment because I knew none of the lines to the musical performance.",everyman
"I was in a cinema and everyone had gone home and I knew I shouldn't be there. Then there were cameras coming out of the walls (bursting out). Then I was being chased by something round the cinema. The whole scene jumped, I was at home watching television. Some programme was on with a toy Teddy bear, the bear started shaking and the fur was ripping and some sort of monster was braki through. I couldn't get the television off, the remote wasn't working.",jester
"I was about to be arrested and convicted for unintentionally killing 21 people. I may have been getting ready to turn myself in, or maybe I just knew I was going to be taken in. I was talking to my mother about it, and it seems no one else was present at the time of this vivid and clearly remembered part. I was saying ""I killed 21 people. 21 People! Even if it was an accident, don't you think I should pay?!?! I should go in for negligence or SOMETHING!"" And my mother was just looking at me like she was worked up but didn't know what to say. I got the feeling that she was thinking I shouldn't be punished, that I should find a way out of it, and I was making my case that my mistake should be punished. I awoke feeling appalled and guilty, but strong and determined and posessed by truth as well. ;  Background_Info: I am not a doctor or anything like that, and nor is my mother. My mother is generally an aggressively righteous woman, who is quick to threaten someone who is acting immorally, maliciously, or unjustly. I myself am much less confrontational, but any wrongs I commit tend to eat me alive. ;  Wakeup_State: __ ###",jester
"l was walking with my brother at night. We had bought groceries, so we were walking on our way home. I dropped my money $20usd from my hand then, after a few steps l discovered that there was no money in my hand. Then, l searched for it. There was a thief who stole it, so l picked $2. I recognised him & l didnt confront him instead, l started preaching to him the word of GOD-the 10 commandments though he was a not born again Christian & after that l left him.He seemed sorry but, l didnt ask my money back.",jester
I had a dream that a man gave me $40 but it turned out to be counterfeit money. I didn’t know until someone pointed it out. I was in the department of human services office when he gave it to me. Other people was able to identify him as well. He wasn’t suppose to be on the property. He was found and arrested along with others for giving free tours. I also found $40 gone out my bank account.,everyman
"I was in an apartment and in this dream, it was my apartment. I was with my kids and my daughter was watching something on TV. Then the front door opened, and I became afraid and then just felt anxious. I froze. I was shouting “get out, get out.” I ran to the door, but I felt like I was going in slow motion. I pushed the door closed, locked the top and bottom nob. I even hooked the chain, but I had the sense…this feeling like I was doing something wrong. That I should not have been locking whoever it was out. I know it was a man behind the door. I heard the locks turning…he had a key like he had belonged there. He walks through the door. It felt like this was his place as well, I deep down kept saying get out…out…but I stood there staring at him. Like I was waiting for something. I felt like I was waiting for him to hold me. But I was frozen. He had black hair. I felt that I knew him, but he was a blur. I could not see his face. He stood there as if it was his home, it was our home. I looked at him like I didn’t know who he was, but I knew who he was, and I wanted to him to be there and hold me, but I kept thinking…Go…cause they always leave. ;  Background_Info: Quick note: there is someone my heart and head have agreed on... yet I fight upon. I had made a decision to stop caring and to walk away. To let him make his mistake with his current situation cause he was choosing to believe a liar and a cheater. And so I wanted to not care. Right before going to bed. I closed my eyes and it happened quickly. ;  Wakeup_State: __ ###",everyman
"I was walking a long road and was very tired. I ended in a place that seems to welcome travelers. I fell asleep and when I woke up, there was a nurse on my bedside. She was holding a baby. She told me I gave birth in my sleep and that I was very agitated while giving birth to the baby. I took the baby in my arm and saw that she was very lively and had incredibly beautiful, large and shiny eyes. ;  Background_Info: I don't have children and I don't want any. ;  Wakeup_State: __ ###",hero
"Just woke from a dream in which I was at a new church, and suddenly got diarrhea. I ran to the bathroom, which was laid out like bus seats. Everyone could see everyone going, in sat in the very back row, but I know people would be able to tell i had diarrhea and would working on this messy endeavour. I looked over to the only seat right next to me, and there was my husband, crackin jokes, making me feel less awkward. I was worried that he might get in trouble for using the women's room, but he didn't seem bothered at ill - which is weird because typically he's a rule follower. He made extra noise at conspicuous moments when my ""jib"" was extra moist, or i needed to flush, again. By the end of the dream, there were walls between all of the stalls, and we were trying to figure out how to sneak him out of this busy bathroom, without anyone knowing I'd had a guy in with me the whole time.",everyman
"I was in a cinema and everyone had gone home and I knew I shouldn't be there. Then there were cameras coming out of the walls (bursting out). Then I was being chased by something round the cinema. The whole scene jumped, I was at home watching television. Some programme was on with a toy Teddy bear, the bear started shaking and the fur was ripping and some sort of monster was braki through. I couldn't get the television off, the remote wasn't working.",jester
"In the dream my guy friend sits on a bench next to me, it was like a classroom and the other ladies in the class were talking at my back, hatred and jealousy towards me.",everyman
"I am pulling out of a parking lot onto a busy road. While waiting for a break in traffic so I could go, a young girl with long brown hair & glasses in a black car was turning into the parking lot. The back of her car started to spin & right before her car hit mine she & I locked eyes. On impact the front of her car turned into oncoming traffic & car after car just kept smashing into her car. I could hear her screaming & crashing metal & I cover my face crying. Then everything goes silent, I take my hands off of my eyes & realize I am actually the one in the smashed up car. The car is destroyed & I'm completely trapped inside with the metal so tight against me, I can't move. ;  Background_Info: Same exact dream Friday night & again Monday night ;  Wakeup_State: __ ###",everyman
"I went to an apartment complex hallway and knocked on someone’s door; I’m pretty sure it was a guy I knew while I was younger who gave me the middle finger as he drove by in a truck in a recent dream. I was talking to him then something he said made me ask him, “what did you do?” I remember feeling like he was talking about me, but he tried to hide it. Then I realized the apartment complex is in poor condition, inside the apartment looks like a messy hoarder situation, and then I noticed several feral cats. I should’ve tried to help get the guy out, but I was primarily concerned about my safety, so I was cautiously trying to walk towards either the front door or back door (whatever felt safer). ;  Background_Info: I do feel like I know who the person in my dream was, but I want to mention that I rarely ever know or feel any connection with anyone in my dreams (it’s usually like people are around, but they don’t feel real). I can’t accurately say if I’m right about who it is or any feelings associated with the person because I had to calm myself down and remind myself that I’m protected. ;  Wakeup_State: I woke up with a panic attack or at least anxiety. I woke up before I left because my brain doesn’t let me get harmed. ###",everyman
I was at some yard sale and saw a beautiful carved desk. It was an antique and very detailed. I reach into a small drawer and drew out a big wad of money. Very old money - and I stole it. then I woke up. I wonder what that dream means. ;  Background_Info:  ive had other dreams where I steal jewelry from an old jewelry box. So this dream is kind of a repeat which usually means its important to figure out (or I will keep on having these dreams). ;  Wakeup_State:  Please...im not a thief -\-\ but I had the strong knowledge that I was being very wrong and sneaky. ###,jester
The other night I had a dream that my crush gave me a ring. I don’t know if it was an engagement ring or not but it was just on my finger. Like how Dorthy got those shoes lol. It was ugly. It was like a rock candy ring pop and it had this big glass looking thing over it that was engraved but I couldn’t see it. Someone pointed it out. It was either to show that I should have respect or that I’m taken or both. Then they asked if I was going to keep it cuz it was so weird. I wanted to keep it. ;  Background_Info:  In real life my crush just broke up with his girlfriend and said he’s giving up. He knows I like him. I just want him to be happy no matter who he’s with. ;  Wakeup_State: __ ###,everyman
